Player,Nation,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Max Aarons,ENG,Bournemouth,"25 years, 075 days",1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Joshua Acheampong,ENG,Chelsea,"18 years, 319 days",1.9,0,2,0,0.0,1.06,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Defender,
Tyler Adams,USA,Bournemouth,"26 years, 034 days",13.8,0,6,1,16.7,0.43,0.07,0.0,0.0,18.7,0,0,0,1.2,1.2,0.19,-1.2,-1.2,Midfielder,
Tosin Adarabioyo,ENG,Chelsea,"27 years, 177 days",12.1,1,11,2,18.2,0.91,0.16,0.09,0.5,12.3,0,0,0,0.9,0.9,0.08,0.1,0.1,Defender,
Simon Adingra,CIV,Brighton,"23 years, 078 days",6.9,2,16,5,31.3,2.3,0.72,0.13,0.4,16.8,0,0,0,1.5,1.5,0.09,0.5,0.5,Forward,Midfielder
Emmanuel Agbadou,CIV,Wolves,"27 years, 276 days",6.7,0,2,1,50.0,0.3,0.15,0.0,0.0,35.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Asher Agbinone,ENG,Crystal Palace,"19 years, 173 days",0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Midfielder,
Ola Aina,NGA,Nottingham Forest,"28 years, 163 days",28.1,2,9,2,22.2,0.32,0.07,0.22,1.0,24.8,0,0,0,0.6,0.6,0.07,1.4,1.4,Defender,
Rayan Aït-Nouri,ALG,Wolves,"23 years, 287 days",26.5,3,24,6,25.0,0.91,0.23,0.13,0.5,15.7,0,0,0,1.9,1.9,0.08,1.1,1.1,Defender,
Kristoffer Ajer,NOR,Brentford,"26 years, 337 days",13.4,0,7,2,28.6,0.52,0.15,0.0,0.0,10.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Defender,
Manuel Akanji,SUI,Manchester City,"29 years, 244 days",19.0,0,10,1,10.0,0.53,0.05,0.0,0.0,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Defender,
Nathan Aké,NED,Manchester City,"30 years, 030 days",7.5,0,3,0,0.0,0.4,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Defender,
Carlos Alcaraz,ARG,Southampton,"22 years, 110 days",0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Midfielder,
Carlos Alcaraz,ARG,Everton,"22 years, 110 days",3.5,1,14,6,42.9,3.97,1.7,0.07,0.17,21.1,0,0,0,0.9,0.9,0.06,0.1,0.1,Midfielder,Forward
Trent Alexander-Arnold,ENG,Liverpool,"26 years, 164 days",23.8,2,38,7,18.4,1.59,0.29,0.05,0.29,23.6,2,0,0,1.6,1.6,0.04,0.4,0.4,Defender,
Alisson,BRA,Liverpool,"32 years, 169 days",20.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Miguel Almirón,PAR,Newcastle Utd,"31 years, 038 days",1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Forward,
Edson Álvarez,MEX,West Ham,"27 years, 147 days",17.1,0,11,1,9.1,0.64,0.06,0.0,0.0,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Midfielder,
Will Alves,ENG,Leicester City,"20 years, 045 days",0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Harry Amass,ENG,Manchester Utd,"18 years, 004 days",0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Samuel Amo-Ameyaw,ENG,Southampton,"18 years, 245 days",0.3,0,1,0,0.0,3.21,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Forward,Defender
Mathis Amougou,FRA,Chelsea,"19 years, 061 days",0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Joachim Andersen,DEN,Crystal Palace,"28 years, 293 days",1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Defender,
Joachim Andersen,DEN,Fulham,"28 years, 293 days",19.7,0,12,2,16.7,0.61,0.1,0.0,0.0,18.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Defender,
Elliot Anderson,ENG,Nottingham Forest,"22 years, 134 days",22.0,1,29,5,17.2,1.32,0.23,0.03,0.2,20.2,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Midfielder,
André,BRA,Wolves,"23 years, 247 days",19.4,0,6,1,16.7,0.31,0.05,0.0,0.0,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Midfielder,
Michail Antonio,JAM,West Ham,"34 years, 357 days",9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Forward,
Antony,BRA,Manchester Utd,"25 years, 024 days",1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Defender,Midfielder
Julian Araujo,MEX,Bournemouth,"23 years, 219 days",3.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Cameron Archer,ENG,Southampton,"23 years, 242 days",13.1,2,25,8,32.0,1.91,0.61,0.08,0.25,13.0,0,0,1,4.9,4.1,0.16,-2.9,-2.1,Forward,
Alphonse Areola,FRA,West Ham,"32 years, 021 days",17.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Joe Aribo,NGA,Southampton,"28 years, 242 days",20.3,3,16,7,43.8,0.79,0.35,0.19,0.43,13.8,0,0,0,2.7,2.7,0.17,0.3,0.3,Midfielder,Defender
Adam Armstrong,ENG,Southampton,"28 years, 038 days",13.9,2,25,7,28.0,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Forward,Midfielder
Harrison Armstrong,ENG,Everton,"18 years, 060 days",0.5,0,1,0,0.0,1.87,0.0,0.0,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Midfielder,
Kepa Arrizabalaga,ESP,Bournemouth,"30 years, 168 days",22.0,0,1,0,0.0,0.05,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Goalkeeper,
Marco Asensio,ESP,Aston Villa,"29 years, 058 days",2.3,2,7,3,42.9,3.04,1.3,0.29,0.67,17.5,0,0,0,1.4,1.4,0.2,0.6,0.6,Midfielder,Forward
Brandon Austin,ENG,Tottenham,"26 years, 071 days",1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Taiwo Awoniyi,NGA,Nottingham Forest,"27 years, 220 days",3.1,1,9,4,44.4,2.91,1.29,0.11,0.25,12.6,0,0,0,2.0,2.0,0.22,-1.0,-1.0,Forward,
Yasin Ayari,SWE,Brighton,"21 years, 165 days",16.0,0,18,5,27.8,1.12,0.31,0.0,0.0,20.1,1,0,0,1.5,1.5,0.08,-1.5,-1.5,Midfielder,
Jordan Ayew,GHA,Crystal Palace,"33 years, 190 days",0.2,0,1,0,0.0,4.29,0.0,0.0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Forward,Midfielder
Jordan Ayew,GHA,Leicester City,"33 years, 190 days",14.4,4,25,7,28.0,1.73,0.48,0.12,0.43,18.4,3,1,1,2.8,2.0,0.08,1.2,1.0,Forward,Midfielder
Benoît Badiashile,FRA,Chelsea,"23 years, 359 days",3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Leon Bailey,JAM,Aston Villa,"27 years, 223 days",12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Forward,Midfielder
Carlos Baleba,CMR,Brighton,"21 years, 076 days",21.6,2,36,9,25.0,1.66,0.42,0.06,0.22,24.6,1,0,0,2.9,2.9,0.08,-0.9,-0.9,Midfielder,
Ross Barkley,ENG,Aston Villa,"31 years, 105 days",6.2,3,14,4,28.6,2.27,0.65,0.21,0.75,13.8,0,0,0,1.7,1.7,0.12,1.3,1.3,Midfielder,
Harvey Barnes,ENG,Newcastle Utd,"27 years, 101 days",10.0,5,33,12,36.4,3.29,1.2,0.15,0.42,14.3,0,0,0,3.4,3.4,0.1,1.6,1.6,Forward,
Calvin Bassey,NGA,Fulham,"25 years, 079 days",27.2,1,13,4,30.8,0.48,0.15,0.08,0.25,15.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Defender,
Jan Bednarek,POL,Southampton,"28 years, 342 days",21.1,2,5,2,40.0,0.24,0.09,0.4,1.0,16.0,0,0,0,0.7,0.7,0.13,1.3,1.3,Defender,
Armel Bella Kotchap,GER,Southampton,"23 years, 099 days",3.7,0,1,0,0.0,0.27,0.0,0.0,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Defender,
Jean-Ricner Bellegarde,FRA,Wolves,"26 years, 266 days",14.3,2,18,5,27.8,1.26,0.35,0.11,0.4,21.5,2,0,0,1.2,1.2,0.07,0.8,0.8,Midfielder,Forward
Rodrigo Bentancur,URU,Tottenham,"27 years, 268 days",13.8,2,22,5,22.7,1.59,0.36,0.09,0.4,17.4,0,0,0,1.3,1.3,0.06,0.7,0.7,Midfielder,
Sander Berge,NOR,Fulham,"27 years, 034 days",18.3,0,2,0,0.0,0.11,0.0,0.0,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Midfielder,
Lucas Bergvall,SWE,Tottenham,"19 years, 046 days",10.4,0,10,1,10.0,0.96,0.1,0.0,0.0,21.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Midfielder,
Victor Bernth Kristiansen,DEN,Leicester City,"22 years, 094 days",25.3,0,3,0,0.0,0.12,0.0,0.0,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Defender,
Beto,GNB,Everton,"27 years, 048 days",10.4,6,32,17,53.1,3.09,1.64,0.19,0.35,13.2,0,0,0,5.5,5.5,0.17,0.5,0.5,Forward,
Philip Billing,DEN,Bournemouth,"28 years, 282 days",2.0,0,5,1,20.0,2.45,0.49,0.0,0.0,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Midfielder,
Yves Bissouma,MLI,Tottenham,"28 years, 202 days",12.7,2,9,3,33.3,0.71,0.24,0.22,0.67,22.3,0,0,0,0.6,0.6,0.06,1.4,1.4,Midfielder,
Lamare Bogarde,NED,Aston Villa,"21 years, 074 days",5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Defender,Midfielder
Willy Boly,CIV,Nottingham Forest,"34 years, 045 days",1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Defender,
Sven Botman,NED,Newcastle Utd,"25 years, 067 days",2.5,0,1,0,0.0,0.4,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Defender,
Jarrod Bowen,ENG,West Ham,"28 years, 090 days",24.3,7,64,26,40.6,2.63,1.07,0.09,0.23,18.1,0,1,1,6.3,5.5,0.09,0.7,0.5,Forward,Midfielder
Conor Bradley,NIR,Liverpool,"21 years, 254 days",4.1,0,7,3,42.9,1.69,0.73,0.0,0.0,14.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Defender,
Jarrad Branthwaite,ENG,Everton,"22 years, 266 days",20.1,0,7,2,28.6,0.35,0.1,0.0,0.0,8.2,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Defender,
James Bree,ENG,Southampton,"27 years, 160 days",9.9,0,4,1,25.0,0.4,0.1,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,
Ben Brereton,CHI,Southampton,"25 years, 336 days",5.0,0,11,1,9.1,2.2,0.2,0.0,0.0,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Forward,
Nathan Broadhead,WAL,Ipswich Town,"26 years, 349 days",5.1,0,9,5,55.6,1.78,0.99,0.0,0.0,16.3,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Forward,Midfielder
Armando Broja,ALB,Everton,"23 years, 191 days",1.9,0,4,0,0.0,2.11,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Forward,
David Brooks,WAL,Bournemouth,"27 years, 255 days",8.2,2,21,10,47.6,2.57,1.22,0.1,0.2,16.5,0,0,0,2.2,2.2,0.1,-0.2,-0.2,Forward,
Emi Buendía,ARG,Aston Villa,"28 years, 085 days",1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Midfielder,Forward
Santiago Bueno,URU,Wolves,"26 years, 131 days",16.9,0,6,3,50.0,0.35,0.18,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Defender,
Facundo Buonanotte,ARG,Leicester City,"20 years, 087 days",14.7,4,29,10,34.5,1.97,0.68,0.14,0.4,17.6,0,0,0,3.5,3.5,0.12,0.5,0.5,Forward,Midfielder
Cameron Burgess,AUS,Ipswich Town,"29 years, 150 days",10.5,0,9,1,11.1,0.86,0.1,0.0,0.0,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Defender,
Dan Burn,ENG,Newcastle Utd,"32 years, 315 days",27.0,0,14,4,28.6,0.52,0.15,0.0,0.0,10.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Defender,
Wes Burns,WAL,Ipswich Town,"30 years, 117 days",10.3,0,7,1,14.3,0.68,0.1,0.0,0.0,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Forward,Defender
Moisés Caicedo,ECU,Chelsea,"23 years, 138 days",28.2,1,14,3,21.4,0.5,0.11,0.07,0.33,24.8,0,0,0,0.6,0.6,0.05,0.4,0.4,Midfielder,
Tom Cairney,SCO,Fulham,"34 years, 059 days",4.9,1,4,1,25.0,0.82,0.21,0.25,1.0,23.5,1,0,0,0.1,0.1,0.04,0.9,0.9,Midfielder,
Jens Cajuste,SWE,Ipswich Town,"25 years, 222 days",15.9,1,7,1,14.3,0.44,0.06,0.14,1.0,21.7,0,0,0,0.3,0.3,0.04,0.7,0.7,Midfielder,
Riccardo Calafiori,ITA,Arsenal,"22 years, 305 days",10.3,2,10,6,60.0,0.97,0.58,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1,Defender,
Dominic Calvert-Lewin,ENG,Everton,"28 years, 004 days",17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Forward,
Diego Carlos,BRA,Aston Villa,"32 years, 005 days",9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Defender,
Fabio Carvalho,POR,Brentford,"22 years, 202 days",5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Forward,Midfielder
Casemiro,BRA,Manchester Utd,"33 years, 025 days",12.5,1,23,6,26.1,1.84,0.48,0.04,0.17,19.8,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Midfielder,
Kaelan Casey,ENG,West Ham,"20 years, 143 days",0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Matty Cash,POL,Aston Villa,"27 years, 225 days",15.5,1,7,4,57.1,0.45,0.26,0.14,0.25,17.5,0,0,0,0.2,0.2,0.03,0.8,0.8,Defender,Forward
Timothy Castagne,BEL,Fulham,"29 years, 105 days",14.9,0,8,3,37.5,0.54,0.2,0.0,0.0,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Defender,
Trevoh Chalobah,ENG,Crystal Palace,"25 years, 258 days",11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,1.8,1.8,Defender,
Trevoh Chalobah,ENG,Chelsea,"25 years, 258 days",3.3,0,3,0,0.0,0.91,0.0,0.0,,9.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Defender,
Conor Chaplin,ENG,Ipswich Town,"28 years, 032 days",6.8,1,12,3,25.0,1.76,0.44,0.08,0.33,18.3,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Midfielder,Forward
Youssef Chermiti,POR,Everton,"20 years, 300 days",0.1,0,2,1,50.0,15.0,7.5,0.0,0.0,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Forward,
Federico Chiesa,ITA,Liverpool,"27 years, 146 days",0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Forward,
Ben Chilwell,ENG,Crystal Palace,"28 years, 089 days",0.6,0,1,1,100.0,1.76,1.76,0.0,0.0,23.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Defender,Midfielder
Chiquinho,POR,Wolves,"25 years, 043 days",0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Hamza Choudhury,ENG,Leicester City,"27 years, 170 days",1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Defender
Ryan Christie,SCO,Bournemouth,"30 years, 026 days",22.9,2,32,11,34.4,1.4,0.48,0.06,0.18,19.6,0,0,0,1.8,1.8,0.06,0.2,0.2,Midfielder,
Harry Clarke,ENG,Ipswich Town,"24 years, 018 days",4.2,0,1,1,100.0,0.24,0.24,0.0,0.0,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Defender,
Jack Clarke,ENG,Ipswich Town,"24 years, 117 days",9.7,0,13,2,15.4,1.34,0.21,0.0,0.0,18.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Forward,Midfielder
Nathaniel Clyne,ENG,Crystal Palace,"33 years, 349 days",4.4,0,1,0,0.0,0.23,0.0,0.0,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Defender,Midfielder
Conor Coady,ENG,Leicester City,"32 years, 023 days",10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Séamus Coleman,IRL,Everton,"36 years, 160 days",2.2,0,1,1,100.0,0.46,0.46,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Defender,
Nathan Collins,IRL,Brentford,"23 years, 324 days",29.0,2,15,5,33.3,0.52,0.17,0.13,0.4,11.2,0,0,0,2.3,2.3,0.15,-0.3,-0.3,Defender,
Toby Collyer,ENG,Manchester Utd,"21 years, 076 days",2.0,0,1,0,0.0,0.5,0.0,0.0,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Midfielder,
Levi Colwill,ENG,Chelsea,"22 years, 022 days",27.0,1,10,2,20.0,0.37,0.07,0.1,0.5,8.8,0,0,0,0.7,0.7,0.07,0.3,0.3,Defender,
Lewis Cook,ENG,Bournemouth,"28 years, 045 days",26.6,1,11,3,27.3,0.41,0.11,0.09,0.33,24.8,1,0,0,0.6,0.6,0.06,0.4,0.4,Midfielder,Defender
Maxwel Cornet,CIV,Southampton,"28 years, 174 days",0.8,0,1,0,0.0,1.25,0.0,0.0,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Forward,
Vladimír Coufal,CZE,West Ham,"32 years, 210 days",8.2,0,4,1,25.0,0.49,0.12,0.0,0.0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Defender,
Woyo Coulibaly,FRA,Leicester City,"25 years, 304 days",1.2,0,2,1,50.0,1.65,0.83,0.0,0.0,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Aaron Cresswell,ENG,West Ham,"35 years, 095 days",6.0,0,3,0,0.0,0.5,0.0,0.0,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Defender,
